13-50-34 ID: 6 Result: 1 numbers[洋葱 1; 牛肉 3; 米饭 10; 辣椒 2; 青菜 3; 面条 5; 面粉 1; 鸡肉 2; 鸡蛋 1; ]
13-50-34 ID: 6 Result: 1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-34 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-34 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-34 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-34 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-34 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-34 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-34 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-34 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-34 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-34 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-34 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-35 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-35 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-35 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-35 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-35 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-35 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-35 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-35 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-35 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-35 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-35 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
13-50-35 ID: 6 Result: -1 numbers[洋葱 0; 牛肉 3; 米饭 10; 辣椒 1; 青菜 2; 面条 5; 面粉 0; 鸡肉 1; 鸡蛋 1; ]
